study;study_id;country;sex;n_veg;mean_veg;sd_veg;n_omni;mean_omni;sd_omni;treat;measure
Zhang et al., (2013); 59;China;M;170 ;164.8 ; 24.4;126 ;194.9 ; 35.6;vegetarian;cholesterol
Jung et al., (2013); 62;Rep. of Korea;M;148 ;201.8 ; 38.2;148 ;212.1 ; 45.3;vegetarian;cholesterol
Chiang et al., (2013); 63;Taiwan;F;391 ;181 ; 32.1;315 ;201.5 ; 34.8;vegetarian;cholesterol
Bradbury et al., (2014); 87;U.K.;M;168 ;188.3 ; 1.3;168 ;204.2 ; 1.3;vegetarian;cholesterol
Bradbury et al., (2014); 87;U.K.;F;255 ;184.1 ; 1.1;256 ;195.3 ; 1.1;vegetarian;cholesterol
Huang et al., (2014); 88;Taiwan;F;76 ;165.8 ; 31.1;2285 ;175.2 ; 33.2;vegetarian;cholesterol
Huang et al., (2014); 88;Taiwan;F;51 ;198.9 ; 51.5;1040 ;204.8 ; 38.3;vegetarian;cholesterol
Jian et al., (2014); 89;Taiwan;M;68 ;172.4 ; 33.2;3144 ;181.7 ; 35.9;vegetarian;cholesterol
Jian et al., (2014); 89;Taiwan;F;127 ;178.5 ; 43.1;3325 ;184.3 ; 37.4;vegetarian;cholesterol
Vinagre et al., (2014); 67;Brazil;M/F;18 ;166.3 ; 26.7;29 ;166.3 ; 26.7;vegetarian;cholesterol
Sacks et al., (1975); 70;U.S.;M/F;115 ;73 ; 24;115 ;118 ; 34;vegetarian;ldl_cholesterol
Burslem et al., (1978); 72;U.S.;M;25 ;78.5 ; 16;35 ;124 ; 29;vegetarian;ldl_cholesterol
Burslem et al., (1978); 72;U.S.;F;31 ;87.5 ; 22.5;43 ;121 ; 29.5;vegetarian;ldl_cholesterol
Huijbregts et al., (1980); 74;The Netherlands;M/F;7 ;102.1 ; 18.2;7 ;111 ; 24.8;vegetarian;ldl_cholesterol
Lock et al., (1982); 76;U.S.;M;8 ;85 ; 7;10 ;126 ; 2;vegetarian;ldl_cholesterol
Lock et al., (1982); 76;U.S.;F;28 ;77 ; 4;26 ;106 ; 2;vegetarian;ldl_cholesterol
Knuiman et al., (1982); 2;The Netherlands;M;17 ;116.0 ; 27.1;14 ;114.9 ; 27.5;vegetarian;ldl_cholesterol
Liebman et al., (1983); 77;U.S.;M;36 ;117 ; 32;18 ;126 ; 22;vegetarian;ldl_cholesterol
Fisher et al., (1986); 79;U.S.;M/F;25 ;95.7 ; 22.4;25 ;114.9 ; 23.4;vegetarian;ldl_cholesterol
